Freq.	V(out)
1.00000000000000e+00	(-1.22411265027006e+02dB,-9.11390548469438e+01°)
1.02329299228075e+00	(-1.21811337392486e+02dB,-9.11655671514152e+01°)
1.04712854805090e+00	(-1.21211413179191e+02dB,-9.11926968834798e+01°)
1.07151930523761e+00	(-1.20611492546679e+02dB,-9.12204583856558e+01°)
1.09647819614318e+00	(-1.20011575663398e+02dB,-9.12488663323394e+01°)
1.12201845430196e+00	(-1.19411662704881e+02dB,-9.12779357376506e+01°)
1.14815362149688e+00	(-1.18811753856757e+02dB,-9.13076819628027e+01°)
1.17489755493953e+00	(-1.18211849311442e+02dB,-9.13381207245119e+01°)
1.20226443461741e+00	(-1.17611949271112e+02dB,-9.13692681027150e+01°)
1.23026877081238e+00	(-1.17012053947337e+02dB,-9.14011405489263e+01°)
1.25892541179417e+00	(-1.16412163562170e+02dB,-9.14337548945591e+01°)
1.28824955169313e+00	(-1.15812278347746e+02dB,-9.14671283596590e+01°)
1.31825673855641e+00	(-1.15212398546972e+02dB,-9.15012785616621e+01°)
1.34896288259165e+00	(-1.14612524414203e+02dB,-9.15362235243427e+01°)
1.38038426460288e+00	(-1.14012656215902e+02dB,-9.15719816869528e+01°)
1.41253754462275e+00	(-1.13412794231642e+02dB,-9.16085719134946e+01°)
1.44543977074593e+00	(-1.12812938752885e+02dB,-9.16460135025838e+01°)
1.47910838816821e+00	(-1.12213090085801e+02dB,-9.16843261968153e+01°)
1.51356124843621e+00	(-1.11613248551110e+02dB,-9.17235301928418e+01°)
1.54881661891248e+00	(-1.11013414483171e+02dB,-9.17636461518271e+01°)
1.58489319246111e+00	(-1.10413588234217e+02dB,-9.18046952091391e+01°)
1.62181009735893e+00	(-1.09813770170814e+02dB,-9.18466989857331e+01°)
1.65958690743756e+00	(-1.09213960678433e+02dB,-9.18896795981974e+01°)
1.69824365246174e+00	(-1.08614160159335e+02dB,-9.19336596703247e+01°)
1.73780082874937e+00	(-1.08014369035995e+02dB,-9.19786623437974e+01°)
1.77827941003892e+00	(-1.07414587750426e+02dB,-9.20247112899305e+01°)
1.81970085860998e+00	(-1.06814816764223e+02dB,-9.20718307215271e+01°)
1.86208713666287e+00	(-1.06215056561916e+02dB,-9.21200454042309e+01°)
1.90546071796325e+00	(-1.05615307649861e+02dB,-9.21693806690951e+01°)
1.94984459975804e+00	(-1.05015570559174e+02dB,-9.22198624244766e+01°)
1.99526231496888e+00	(-1.04415845845316e+02dB,-9.22715171689393e+01°)
2.04173794466953e+00	(-1.03816134089139e+02dB,-9.23243720040808e+01°)
2.08929613085404e+00	(-1.03216435899752e+02dB,-9.23784546471320e+01°)
2.13796208950223e+00	(-1.02616751914784e+02dB,-9.24337934444385e+01°)
2.18776162394955e+00	(-1.02017082800989e+02dB,-9.24904173851272e+01°)
2.23872113856834e+00	(-1.01417429256687e+02dB,-9.25483561145396e+01°)
2.29086765276777e+00	(-1.00817792013072e+02dB,-9.26076399481948e+01°)
2.34422881531992e+00	(-1.00218171835135e+02dB,-9.26682998861183e+01°)
2.39883291901949e+00	(-9.96185695244147e+01dB,-9.27303676268975e+01°)
2.45470891568503e+00	(-9.90189859191546e+01dB,-9.27938755827307e+01°)
2.51188643150958e+00	(-9.84194218966559e+01dB,-9.28588568940968e+01°)
2.57039578276886e+00	(-9.78198783756261e+01dB,-9.29253454446494e+01°)
2.63026799189538e+00	(-9.72203563185171e+01dB,-9.29933758763326e+01°)
2.69153480392691e+00	(-9.66208567312739e+01dB,-9.30629836055845e+01°)
2.75422870333816e+00	(-9.60213806671461e+01dB,-9.31342048384889e+01°)
2.81838293126445e+00	(-9.54219292286551e+01dB,-9.32070765867284e+01°)
2.88403150312660e+00	(-9.48225035699383e+01dB,-9.32816366836405e+01°)
2.95120922666638e+00	(-9.42231048987370e+01dB,-9.33579238006249e+01°)
3.01995172040201e+00	(-9.36237344791413e+01dB,-9.34359774635032e+01°)
3.09029543251359e+00	(-9.30243936339910e+01dB,-9.35158380692076e+01°)
3.16227766016837e+00	(-9.24250837469393e+01dB,-9.35975469028152e+01°)
3.23593656929628e+00	(-9.18258062667728e+01dB,-9.36811461539029e+01°)
3.31131121482591e+00	(-9.12265627099324e+01dB,-9.37666789337445e+01°)
3.38844156139202e+00	(-9.06273546623588e+01dB,-9.38541892929858e+01°)
3.46736850452531e+00	(-9.00281837836199e+01dB,-9.39437222385656e+01°)
3.54813389233575e+00	(-8.94290518103838e+01dB,-9.40353237510181e+01°)
3.63078054770101e+00	(-8.88299605599861e+01dB,-9.41290408018526e+01°)
3.71535229097172e+00	(-8.82309119337397e+01dB,-9.42249213711588e+01°)
3.80189396320560e+00	(-8.76319079211082e+01dB,-9.43230144649159e+01°)
3.89045144994280e+00	(-8.70329506021811e+01dB,-9.44233701331696e+01°)
3.98107170553496e+00	(-8.64340421539973e+01dB,-9.45260394864510e+01°)
4.07380277804112e+00	(-8.58351848548414e+01dB,-9.46310747130978e+01°)
4.16869383470335e+00	(-8.52363810858021e+01dB,-9.47385290979854e+01°)
4.26579518801592e+00	(-8.46376333391923e+01dB,-9.48484570377912e+01°)
4.36515832240165e+00	(-8.40389442213365e+01dB,-9.49609140589780e+01°)
4.46683592150962e+00	(-8.34403164571226e+01dB,-9.50759568348437e+01°)
4.57088189614874e+00	(-8.28417528981832e+01dB,-9.51936432004059e+01°)
4.67735141287197e+00	(-8.22432565248137e+01dB,-9.53140321705190e+01°)
4.78630092322637e+00	(-8.16448304549012e+01dB,-9.54371839538686e+01°)
4.89778819368445e+00	(-8.10464779481397e+01dB,-9.55631599692979e+01°)
5.01187233627271e+00	(-8.04482024125583e+01dB,-9.56920228604999e+01°)
5.12861383991364e+00	(-7.98500074104712e+01dB,-9.58238365106599e+01°)
