// List of register addresses and registers
// Only ReadWrite registers are printed
// First number is the address, second number is the register value

// Generic:
AD4858

// Non-Default Values:
0x02 0x1A
0x03 0x44
0x04 0x44
0x05 0x44
0x06 0x64
0x07 0xFF
0x08 0x03
0x2B 0x10
0x2C 0x05

// Default Values:
0x09 0x00
0x0A 0x00
0x0B 0x00
0x0C 0x00
0x0D 0x00
0x0E 0x00
0x0F 0x00
0x10 0x00
0x11 0x80
0x12 0x80
0x13 0x80
0x14 0x80
0x15 0x80
0x16 0x80
0x17 0x80
0x18 0x80
0x19 0x00
0x1A 0x00
0x1B 0x00
0x1C 0x00
0x1D 0x00
0x1E 0x00
0x1F 0x00
0x20 0x00
0x21 0x01
0x22 0x00
0x23 0x00
0x24 0x00
0x28 0x00
0x29 0x00
0x2A 0x00
